epoch,train_accuracy,val_accuracy
1,0.36419734358787537,0.5216020345687866
2,0.49046456813812256,0.5308266878128052
3,0.5629132390022278,0.5676085948944092
4,0.612250566482544,0.607192873954773
5,0.642913818359375,0.6467772126197815
6,0.6685374975204468,0.6648762226104736
7,0.6955716609954834,0.6862447261810303
8,0.7139520049095154,0.7227931022644043
9,0.7298492789268494,0.7385567426681519
10,0.738943874835968,0.7134516835212708
11,0.7461285591125488,0.7481316924095154
12,0.7538714408874512,0.7414759397506714
13,0.7607916593551636,0.7619103193283081
14,0.7665070295333862,0.762961208820343
15,0.7734418511390686,0.7545539736747742
16,0.7763068675994873,0.743344247341156
17,0.7847550511360168,0.7552545666694641
18,0.7864300012588501,0.7592246532440186
19,0.7911756634712219,0.750350296497345
20,0.7958478927612305,0.7640121579170227
21,0.8015632629394531,0.7603923678398132
22,0.805574357509613,0.7549042701721191
23,0.8113778829574585,0.749649703502655
24,0.8141987919807434,0.7553713321685791
25,0.8188857436180115,0.750350296497345
26,0.8197966814041138,0.7528024315834045
27,0.825688362121582,0.7533862590789795
28,0.8270694613456726,0.749883234500885
29,0.8296846747398376,0.7517515420913696
30,0.8334459662437439,0.750350296497345
31,0.8352531790733337,0.75046706199646
32,0.8371043801307678,0.75
33,0.8404690027236938,0.74953293800354
34,0.8391172885894775,0.750583827495575
35,0.8397049903869629,0.75
36,0.8405424356460571,0.74976646900177
37,0.809394359588623,0.7641289234161377
38,0.8093355894088745,0.762727677822113
39,0.8124210238456726,0.756538987159729
40,0.8147571086883545,0.7515180110931396
41,0.8160353899002075,0.7588743567466736
42,0.819826066493988,0.7695002555847168
43,0.8239399194717407,0.7640121579170227
44,0.826496422290802,0.7525689005851746
45,0.8296112418174744,0.7679822444915771
46,0.8336516618728638,0.763077974319458
47,0.8364432454109192,0.7517515420913696
48,0.8402926921844482,0.762844443321228
49,0.8463459610939026,0.7538533210754395
50,0.8483588695526123,0.7598084807395935
51,0.8518703579902649,0.7623773813247681
52,0.8563368916511536,0.7609761953353882
53,0.8608474731445312,0.756889283657074
54,0.8624930381774902,0.750583827495575
55,0.8657547235488892,0.7551378011703491
56,0.8670770525932312,0.7521018385887146
57,0.8713085055351257,0.7617935538291931
58,0.8748787641525269,0.7587575912475586
59,0.8782433867454529,0.7557216286659241
60,0.8788898587226868,0.7551378011703491
61,0.8832387924194336,0.7573564052581787
62,0.8844141960144043,0.756071925163269
63,0.8834004402160645,0.7537365555763245
64,0.8880873322486877,0.7536197900772095
65,0.8872205018997192,0.756422221660614
66,0.8897769451141357,0.7553713321685791
67,0.8880726099014282,0.7557216286659241
68,0.8897769451141357,0.756422221660614
69,0.8569098711013794,0.7464969754219055
70,0.856645405292511,0.7523353695869446
71,0.8583203554153442,0.7524521350860596
72,0.860538899898529,0.7602755427360535
73,0.8608033657073975,0.7645959854125977
74,0.8634627461433411,0.7633115649223328
75,0.8643442988395691,0.7525689005851746
76,0.865798830986023,0.7412424087524414
77,0.8698245882987976,0.7490658760070801
78,0.8738356232643127,0.749883234500885
79,0.8754224181175232,0.7574731707572937
80,0.8782580494880676,0.7441616058349609
81,0.8809027075767517,0.750116765499115
82,0.8835473656654358,0.7352872490882874
83,0.887749433517456,0.7490658760070801
84,0.8917016983032227,0.743110716342926
85,0.8936704993247986,0.7488323450088501
86,0.8953894972801208,0.7415927052497864
87,0.8993270993232727,0.7389070391654968
88,0.9020451903343201,0.743928074836731
89,0.9071728587150574,0.743110716342926
90,0.9068496227264404,0.7453292608261108
91,0.9103464484214783,0.7470808029174805
92,0.9109781980514526,0.7462634444236755
93,0.9119332432746887,0.7454460263252258
94,0.9151508808135986,0.7411256432533264
95,0.9158855080604553,0.743344247341156
96,0.9183685183525085,0.743811309337616
97,0.9180012345314026,0.743110716342926
98,0.9165173172950745,0.7457963824272156
99,0.9188680648803711,0.7445119023323059
100,0.9173253774642944,0.7442783713340759
101,0.889762282371521,0.7456796169281006
102,0.8863389492034912,0.7306165099143982
103,0.8879551291465759,0.7485988140106201
104,0.88899827003479,0.7354040145874023
105,0.8899385929107666,0.7377393841743469
106,0.8897916674613953,0.7524521350860596
107,0.8916282057762146,0.7418262362480164
108,0.8935529589653015,0.75
109,0.8955364227294922,0.742993950843811
110,0.8982251286506653,0.7456796169281006
111,0.9000470042228699,0.742877185344696
112,0.9027798175811768,0.7394908666610718
113,0.9063647985458374,0.743344247341156
114,0.9095383882522583,0.7411256432533264
115,0.9096412062644958,0.7396076321601868
116,0.9125503301620483,0.7379729151725769
117,0.9168405532836914,0.7317842245101929
118,0.9175310730934143,0.7342363595962524
119,0.9183685183525085,0.7358710765838623
120,0.9239516854286194,0.7345866560935974
121,0.926214337348938,0.737038791179657
122,0.9281537532806396,0.7393741011619568
123,0.9286679625511169,0.7357543110847473
124,0.9316652417182922,0.7333021759986877
125,0.9323117136955261,0.7351704835891724
126,0.9333401918411255,0.7362213730812073
127,0.9342217445373535,0.7340028285980225
128,0.9357497692108154,0.7345866560935974
129,0.935808539390564,0.7330686450004578
130,0.93597012758255,0.7323680520057678
131,0.9363521337509155,0.7329518795013428
132,0.9364402890205383,0.7324848175048828
